;product_name;origins;pnns_groups_1;pnns_groups_2;nutriscore_score;categories_tags;image_url;additives_n;energy-kj_100g;calcium_100g;vitamin-d_100g;proteins_100g;sugars_100g;fat_100g;iron_100g;fiber_100g;sodium_100g;saturated-fat_100g;nutriscore lettre
3045;Fromage fondu;France;Milk and dairy products;Cheese;17.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:melted-cheese;https://images.openfoodfacts.org/images/products/26016092/front_fr.22.400.jpg;2.0;1221.4;0.38;;11.0;6.0;20.0;0.003361;0.12;0.75;13.0;D
3046;Bifidus nature;France;Milk and dairy products;Milk and yogurt;0.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:bifidus-yogurts,en:plain-yogurts,en:plain-bifidus-yogurts;https://images.openfoodfacts.org/images/products/26017204/front_fr.6.400.jpg;0.0;267.0;0.13;;3.7;4.1;3.5;0.000741;0.02;0.04;2.1;B
3047;Lait facile à digérer demi-écrémé stérilisé UHT;France;Milk and dairy products;Milk and yogurt;0.0;en:dairies,en:milks,en:homogenized-milks,en:semi-skimmed-milks,en:uht-milks,en:low-lactose-milk;https://images.openfoodfacts.org/images/products/26018751/front_fr.25.400.jpg;0.0;193.0;0.12;7.5e-07;3.2;4.8;1.6;0.000167;0.1;0.052;1.0;B
3048;Yaourt nature sucré, au lait entier, au sucre de canne;France;Milk and dairy products;Milk and yogurt;4.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:plain-yogurts,en:sweetened-yogurts,en:whole-milk-yogurts;https://images.openfoodfacts.org/images/products/26028378/front_fr.5.400.jpg;0.0;336.0;0.12;8e-07;3.0;9.3;3.3;2.3800000000000003e-05;0.18;0.052;2.2;C
3049;Crème dessert;;Milk and dairy products;Dairy desserts;3.0;en:dairies,en:desserts,en:dairy-desserts,en:dessert-creams,en:chocolate-desserts,en:refrigerated-dessert-creams,en:refrigerated-chocolate-custard-dessert;https://images.openfoodfacts.org/images/products/26031262/front_fr.22.400.jpg;2.0;337.0;0.142;;3.1;13.0;3.3;0.000625;0.1176;0.06;2.0;C
3050;Lait chocolaté;France et Allemagne;Beverages;Sweetened beverages;2.0;en:beverages,en:dairies,en:dairy-drinks,en:flavoured-milks,en:chocolate-milks;https://images.openfoodfacts.org/images/products/26036748/front_fr.4.400.jpg;1.0;170.7;0.12;;3.6;12.0;0.0029;0.001241;0.0;0.056;1.8;B
3051;Mini Babybel (23 % MG);France;Milk and dairy products;Cheese;15.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:fresh-foods,en:cow-cheeses,en:french-cheeses,en:pasteurized-cheeses,en:industrial-cheese;https://images.openfoodfacts.org/images/products/26045306/front_fr.4.400.jpg;0.0;1220.0;0.65;;21.5;0.0;23.0;0.006115;0.0;0.72;15.5;D
3052;Graines de pavot;Australia;Milk and dairy products;Milk and yogurt;5.0;en:dairies,en:milks,en:lactose-free-milk,en:long-life-milk;https://images.openfoodfacts.org/images/products/26046891/front_en.6.400.jpg;0.0;1428.05;0.12;;20.0;0.5;43.0;0.00642156;0.0;0.02;4.9;C
3053;Fromage frais aromatisés p'tit ursi;;Milk and dairy products;Milk and yogurt;1.0;en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:dairy-desserts,en:petits-suisses,en:yogurts,en:fruit-yogurts,en:plain-petit-suisse,en:plain-petit-suisse-around-4-fat;https://images.openfoodfacts.org/images/products/26049557/front_fr.37.400.jpg;2.0;305.2;0.15;1.2e-06;5.3000001907349;12.0;2.2999999523163;0.005789;0.02;0.040000000596048;1.5;B
3054;Yoghourt nature;;Milk and dairy products;Milk and yogurt;-2.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:plain-yogurts;https://images.openfoodfacts.org/images/products/26049977/front_fr.38.400.jpg;0.0;217.0;0.00013;;3.7;4.3;1.0;0.001323;0.08;0.052;0.7;A
