;product_name;origins;pnns_groups_1;pnns_groups_2;nutriscore_score;categories_tags;image_url;additives_n;energy-kj_100g;calcium_100g;vitamin-d_100g;proteins_100g;sugars_100g;fat_100g;iron_100g;fiber_100g;sodium_100g;saturated-fat_100g;nutriscore lettre
0;Moelleux au chocolat;;unknown;unknown;16.0;;https://images.openfoodfacts.org/images/products/000/000/003/1141/front_en.4.400.jpg;0.0;1401.2;0.036;;6.2;32.3;28.6;0.00327;7.3;0.52;18.3;D
1;Peanut Butter;;Cereals and potatoes;Legumes;-1.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:legume-butters,en:nut-butters,en:peanut-butters;https://images.openfoodfacts.org/images/products/00014878/front_en.13.400.jpg;0.0;1355.6;0.062;;21.0;3.0;48.0;0.00225;9.4;0.0;7.5;A
2;Peanut Butter;;Cereals and potatoes;Legumes;0.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:legume-butters,en:nut-butters,en:peanut-butters;https://images.openfoodfacts.org/images/products/00014892/front_en.4.400.jpg;0.0;1356.8;0.062;;25.0;6.25;50.0;0.00225;9.4;0.0;7.8125;B
3;Traders Joe's, Baking Powder;;unknown;unknown;10.0;en:cooking-helpers;https://images.openfoodfacts.org/images/products/00015165/front_en.4.400.jpg;2.0;392.6;6.667;;0.0;0.0;0.0;0.0067199999999999;2.0;9.167;0.0;C
4;Pilgrim joe's, clam chowder a condensed soup;;Composite foods;One-dish meals;3.0;en:canned-foods,en:meals,en:soups,en:canned-meals,en:canned-soups,en:chowders;https://images.openfoodfacts.org/images/products/00016063/front_en.5.400.jpg;1.0;170.6;0.0;;4.1;0.82;1.64;0.00118;0.8;0.492;0.0;C
5;Oven Toasted Old Fashioned Organic Oats;;Fat and sauces;Dressings and sauces;-6.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:cereals-and-potatoes,en:cereals-and-their-products,en:sauces,en:barbecue-sauces;https://images.openfoodfacts.org/images/products/00048569/front_en.15.400.jpg;0.0;939.754;0.0;;12.5;2.5;7.5;0.0045;10.0;0.0;0.0;A
6;Extra craft ginger beer, extra;;Beverages;Sweetened beverages;13.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sodas,en:fruit-sodas,en:sodas-with-exotic-fruits,en:sweetened-beverages;https://images.openfoodfacts.org/images/products/000/827/400/0078/front_en.6.400.jpg;0.0;163.8;0.0;;0.0;9.86;0.56;0.00011;0.3;0.0;0.56;D
7;Advanced Nutrition High Protein Meal Replacement Shake;;Beverages;Artificially sweetened beverages;5.0;en:beverages;https://images.openfoodfacts.org/images/products/000/834/650/0086/front_en.11.400.jpg;10.0;178.8;0.123;;6.1538;0.3077;2.7692;0.00083;1.5;0.0553846;0.4615;C
8;Peanut butter chocolate flavored advanced nutrition snack bites;;unknown;unknown;17.0;en:snacks;https://images.openfoodfacts.org/images/products/000/834/680/0025/front_en.4.400.jpg;2.0;945.2;0.087;;17.39;26.09;26.09;0.00157;21.7;0.261;19.57;D
9;isoxan;;Beverages;Unsweetened beverages;30.0;en:beverages,en:energy-drinks;https://images.openfoodfacts.org/images/products/00085/front_fr.4.400.jpg;0.0;1560.0;0.2;;0.0;75.7;0.0;0.000106;0.0;1.47;0.0;E
10;Macarons Pistache;;Sugary snacks;Biscuits and cakes;16.0;en:snacks,en:desserts,en:sweet-snacks,en:biscuits-and-cakes,en:pastries,en:macarons;https://images.openfoodfacts.org/images/products/000/856/399/4606/front_fr.7.400.jpg;;1675.0;0.0629;0.0;8.57;51.4;22.9;0.000857;2.86;0.029;4.29;D
11;Macarons de Pauline;;Sugary snacks;Biscuits and cakes;14.0;en:snacks,en:desserts,en:sweet-snacks,en:biscuits-and-cakes,en:pastries,en:macarons;https://images.openfoodfacts.org/images/products/000/856/399/4620/front_fr.13.400.jpg;;1545.0;0.0571;;8.57;51.4;20.0;0.00103;8.57;0.0171;4.29;D
12;Beigel beigel, cracker crisps, sour creme & onion;;Sugary snacks;Biscuits and cakes;17.0;en:biscuits-and-cakes;https://images.openfoodfacts.org/images/products/000/898/200/0513/front_fr.5.400.jpg;10.0;834.8;0.0;;7.14;3.57;16.07;0.00129;7.1;0.929;7.14;D
13;Pretzels;;unknown;unknown;11.0;en:snacks;https://images.openfoodfacts.org/images/products/000/898/200/0797/front_fr.4.400.jpg;1.0;1064.754;0.071;;14.29;3.57;3.57;0.00257;7.1;1.0;1.79;D
14;Excellence cocoa dark chocolate bar;;Sugary snacks;Chocolate products;15.0;en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:chocolates,en:dark-chocolates;https://images.openfoodfacts.org/images/products/000/954/203/1695/front_en.22.400.jpg;0.0;2007.4;0.1;;10.0;16.666666666667;46.666666666667;0.0036;7.5;0.0;30.0;D
15;70% cocoa extra dark chocolate truffles, extra dark chocolate;;Sugary snacks;Sweets;20.0;en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies;;1.0;2055.6;0.056;;5.56;25.0;52.78;0.00556;2.8;0.069;38.89;E
16;Dark chocolate bar, dark chocolate;;Sugary snacks;Sweets;22.0;en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies;;1.0;1851.2;0.0;;6.67;46.67;33.33;0.0036;6.7;0.133;20.0;E
17;Sweet cream topped with cocoa wafer bites;;Sugary snacks;Sweets;22.0;en:snacks,en:sweet-snacks,en:confectioneries;;0.0;1361.2;0.2;;10.0;50.0;30.0;0.0;5.0;0.125;15.0;E
18;Hazelnut Spread with Breadsticks;;Sugary snacks;Biscuits and cakes;22.0;en:biscuits-and-cakes;;0.0;1689.8;0.077;;7.69;44.23;26.92;0.00208;3.8;0.25;9.62;E
19;Spaghetti sauce;;Fat and sauces;Dressings and sauces;4.0;en:groceries,en:sauces;https://images.openfoodfacts.org/images/products/00098939/front_en.9.400.jpg;0.0;252.8;0.032;;1.6;4.8;2.0;0.00086;0.8;0.36;0.0;C
20;Whole cashews;;unknown;unknown;15.0;en:snacks;https://images.openfoodfacts.org/images/products/001/030/093/3649/front_en.4.400.jpg;1.0;1318.25;0.071;;17.86;7.14;46.43;0.00643;3.6;0.286;7.14;D
21;Whoppers, milkshake, malted milk balls, strawberry;;Sugary snacks;Sweets;27.0;en:snacks,en:sweet-snacks,en:confectioneries;;6.0;1708.0;0.146;;2.44;63.41;19.51;0.0;0.0;0.159;19.51;E
22;Chocolate malted milk balls candy;;Sugary snacks;Sweets;27.0;en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies;https://images.openfoodfacts.org/images/products/001/070/050/1806/front_en.12.400.jpg;3.0;1609.8;0.146;;2.44;58.54;17.07;0.00176;0.0;0.2354;17.07;E
23;Peanut caramel bar PayDay;;Sugary snacks;Sweets;16.0;en:snacks,en:sweet-snacks,en:confectioneries,en:peanut-caramel-bar;https://images.openfoodfacts.org/images/products/001/070/080/7229/front_en.8.400.jpg;2.0;1502.2;0.098;;13.46;40.38;25.0;0.00192;3.8;0.231;4.81;D
24;Kroger, crunchy peanut butter;;Fat and sauces;Fats;6.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:fats,en:spreads,en:nuts-and-their-products,en:vegetable-fats,en:plant-based-spreads,en:oilseed-purees,en:legume-butters,en:nut-butters,en:peanut-butters,en:crunchy-peanut-butters;https://images.openfoodfacts.org/images/products/001/111/001/6508/front_en.3.400.jpg;0.0;2073.2;0.062;;25.0;3.12;50.0;0.00225;9.4;0.391;6.25;C
25;Kroger, english muffins;;Cereals and potatoes;Bread;-4.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads;https://images.openfoodfacts.org/images/products/001/111/002/0932/front_en.4.400.jpg;4.0;604.6;0.131;;11.48;3.28;2.46;0.00236;6.6;0.377;0.82;A
26;Light orange juice beverage;;Beverages;Artificially sweetened beverages;7.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages;;3.0;56.8;0.088;;0.42;4.17;0.0;8e-05;0.0;0.002;0.0;C
27;Kroger, monterey jack cheese;;Milk and dairy products;Cheese;15.0;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses;;0.0;1176.0;0.714;;25.0;0.0;28.57;0.0;0.0;0.607;17.86;D
28;No stir creamy peanut butter;;Fat and sauces;Fats;8.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:fats,en:spreads,en:nuts-and-their-products,en:vegetable-fats,en:plant-based-spreads,en:oilseed-purees,en:legume-butters,en:nut-butters,en:peanut-butters;https://images.openfoodfacts.org/images/products/001/111/079/1566/front_en.11.400.jpg;0.0;1318.25;0.0;;21.875;6.25;50.0;0.00225;6.2;0.3125;10.9375;C
29;Thin & crispy cookies with peanut butter chips;;Sugary snacks;Biscuits and cakes;29.0;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;;2.0;1743.6;0.071;;7.14;42.86;25.0;0.00129;3.6;0.643;16.07;E
30;Oatmeal raisin cookies;;Sugary snacks;Biscuits and cakes;22.0;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;;1.0;1136.2;0.036;;3.57;35.71;17.86;0.0;3.6;0.286;10.71;E
31;Lightly salted wavy potato chips;;unknown;unknown;11.0;en:snacks;;0.0;416.0;0.014;;3.57;3.57;39.29;0.0;3.6;0.232;5.36;D
32;Fruit Spread;;Sugary snacks;Sweets;11.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves;https://images.openfoodfacts.org/images/products/001/111/083/8797/front_en.6.400.jpg;2.0;606.3;0.0;;0.0;44.44;0.0;0.0;0.0;0.028;0.0;D
33;Fruit Spread;;Sugary snacks;Sweets;11.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves;https://images.openfoodfacts.org/images/products/001/111/083/8841/front_en.4.400.jpg;2.0;606.3;0.0;;0.0;44.44;0.0;0.0;0.0;0.028;0.0;D
34;Fruit spread;;Sugary snacks;Sweets;11.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:fruit-spread;https://images.openfoodfacts.org/images/products/001/111/083/8995/front_en.4.400.jpg;2.0;606.3;0.0;;0.0;44.44;0.0;0.0;0.0;0.056;0.0;D
35;Haricot vert;;unknown;unknown;-2.0;;https://images.openfoodfacts.org/images/products/001/111/089/7312/front_en.4.400.jpg;0.0;568.48;0.048;;1.0;0.0;0.0;0.00043;2.4;0.0;0.0;A
36;Gluten free mashed potatoes;;unknown;unknown;-4.0;en:vegetable-mixes;https://images.openfoodfacts.org/images/products/001/114/087/1023/front_en.9.400.jpg;4.0;574.6;0.045;;9.09;0.0;0.0;0.00136;4.5;0.091;0.0;A
37;2% reduced fat milk;;Milk and dairy products;Milk and yogurt;1.0;en:dairies,en:milks,en:semi-skimmed-milks;https://images.openfoodfacts.org/images/products/001/115/015/9579/front_en.8.400.jpg;0.0;258.0;0.127;1.05e-06;8.0;12.0;5.0;0.0;0.0;0.052;3.0;B
38;Fueru Wakame Dried Seaweed;;Fish Meat Eggs;Fish and seafood;-8.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:seafood,en:dried-products,en:dried-plant-based-foods,en:seaweeds-and-their-products,en:dried-seaweeds,en:vegetable-mixes;https://images.openfoodfacts.org/images/products/001/115/201/0908/front_fr.22.400.jpg;0.0;343.4;0.8;;18.0;0.5;2.6;0.026;20.0;0.48;0.7;A
39;Rice seasoning;;unknown;unknown;16.0;en:groceries,en:condiments;https://images.openfoodfacts.org/images/products/001/115/207/0711/front_en.4.400.jpg;0.0;1022.4;0.0;;28.57;28.57;14.29;0.0;14.3;2.571;0.0;D
40;Dried seaweed;;Fish Meat Eggs;Fish and seafood;-2.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:seafood,en:dried-products,en:dried-plant-based-foods,en:seaweeds-and-their-products,en:dried-seaweeds,en:vegetable-mixes;https://images.openfoodfacts.org/images/products/001/115/213/4079/front_en.16.400.jpg;0.0;179.0;0.471;;11.76;0.5;0.0;0.00847;23.5;2.353;0.5;A
41;Hapi, sriracha peas, chili garlic coated green peas snacks, spicy;;unknown;unknown;17.0;en:snacks;;2.0;1100.4;0.0;;14.29;21.43;10.71;0.00257;3.6;0.75;3.57;D
42;Hapi, sriracha peas, spicy;;unknown;unknown;17.0;en:snacks,en:salty-snacks;;2.0;1100.4;0.0;;14.29;21.43;10.71;0.00257;3.6;0.75;3.57;D
43;Nagai's, roasted seaweed sushinori;;unknown;unknown;-6.0;en:vegetable-mixes;;0.0;460.8;0.0;;33.33;0.0;0.0;0.012;33.3;0.0;0.0;A
44;Strawberry flavor ramune soft drink;;Beverages;Sweetened beverages;14.0;en:beverages,en:carbonated-drinks,en:sodas;https://images.openfoodfacts.org/images/products/001/115/221/6805/front_en.9.400.jpg;2.0;163.8;0.0;;0.05;9.4;0.0;0.0;0.0;0.008;0.0;D
45;Kimura ramune melon flavor carbonated soft drink;;Beverages;Sweetened beverages;13.0;en:beverages,en:carbonated-drinks,en:sodas,en:non-alcoholic-beverages,en:lemonade,en:sweetened-beverages;https://images.openfoodfacts.org/images/products/001/115/222/5616/front_en.24.400.jpg;6.0;422.4;0.0;;0.0;9.0;0.0;0.0;0.0;0.01016;0.0;D
46;Lychee flavor carbonated soft drink;;Beverages;Sweetened beverages;13.0;en:beverages,en:carbonated-drinks,en:sodas;;2.0;163.8;0.0;;0.0;9.5;0.0;0.0;0.0;0.005;0.0;D
47;Udon noodle soup;;Cereals and potatoes;Cereals;7.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:noodles;https://images.openfoodfacts.org/images/products/001/115/225/7679/front_en.4.400.jpg;5.0;402.3;0.013;;3.78;1.26;0.0;0.00068;1.3;0.837;0.0;C
48;Daisho, japanese bbq (yakiniku) sauce, garlic soy sauce;;Fat and sauces;Dressings and sauces;19.0;en:groceries,en:sauces,en:barbecue-sauces;https://images.openfoodfacts.org/images/products/001/115/226/3779/front_en.4.400.jpg;6.0;1013.2;0.0;;6.67;33.33;0.0;0.0;0.0;2.867;0.0;E
49;Nori fumi furikake rice seasoning;;Fish Meat Eggs;Fish and seafood;10.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:seafood,en:seaweeds-and-their-products,en:seaweed-products;https://images.openfoodfacts.org/images/products/001/115/227/6410/front_en.17.400.jpg;2.0;474.2;0.333;;1.8;10.0;15.0;0.006;16.7;7.2;0.0;C
50;Premium sweet rice;;Cereals and potatoes;Cereals;0.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:rices;;0.0;435.2;0.0;;7.14;0.0;0.0;0.0;0.0;0.0;0.0;B
51;Ramune;;Beverages;Sweetened beverages;10.0;en:beverages,en:carbonated-drinks,en:sodas;https://images.openfoodfacts.org/images/products/001/115/243/1680/front_fr.4.400.jpg;2.0;75.2;0.0;;0.0;5.5;0.0;0.0;0.0;0.001;0.0;C
52;Wasabi peas;;unknown;unknown;13.0;en:snacks;https://images.openfoodfacts.org/images/products/001/115/285/1716/front_en.4.400.jpg;2.0;1201.8;0.071;;14.29;14.29;14.29;0.00386;3.6;0.304;5.36;D
53;Hot wasibi coated green peas;;unknown;unknown;13.0;en:snacks;https://images.openfoodfacts.org/images/products/001/115/285/1747/front_en.13.400.jpg;2.0;1201.8;0.071;;14.29;14.29;14.29;0.00386;3.6;0.304;5.36;D
54;Butter syrup, butter;;unknown;unknown;11.0;en:sweeteners,en:syrups,en:simple-syrups;https://images.openfoodfacts.org/images/products/001/122/542/2119/front_en.4.400.jpg;2.0;375.5;0.0;;0.0;31.67;0.0;0.0;0.0;0.033;0.0;D
55;Real coconut water;;Beverages;Unsweetened beverages;6.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages;;0.0;75.2;0.007;;0.0;5.26;0.0;1.0000000000000002e-06;0.4;0.034;0.0;C
56;;;Sugary snacks;Sweets;14.0;en:snacks,en:sweet-snacks,en:confectioneries;https://images.openfoodfacts.org/images/products/001/130/005/1395/front_fr.3.400.jpg;8.0;375.5;0.0;;0.0;68.29;0.0;0.0;0.0;0.024;0.0;D
57;Mellowcreme autumn mix candy;;Sugary snacks;Sweets;16.0;en:snacks,en:sweet-snacks,en:confectioneries;;8.0;375.5;0.0;;0.0;70.0;0.0;0.0;0.0;0.2;0.0;D
58;Classic candy corn, classic;;Sugary snacks;Sweets;16.0;en:snacks,en:sweet-snacks,en:confectioneries;;5.0;375.5;0.0;;0.0;70.97;0.0;0.0;0.0;0.194;0.0;D
59;Brach's Mellowcreme Pumpkins Candy;;Sugary snacks;Sweets;16.0;en:snacks,en:sweet-snacks,en:confectioneries;;6.0;633.7;0.0;;0.0;72.73;0.0;0.0;0.0;0.212;0.0;D
60;PROTI BAR;;unknown;unknown;9.0;fr:produits-de-regime;https://images.openfoodfacts.org/images/products/00117501/front_fr.4.400.jpg;6.0;888.4;0.133;;33.3;2.22;15.6;0.0032;26.7;0.116;10.0;C
61;Starbucks frappuccino caramel coffee drink;;Beverages;Sweetened beverages;18.0;en:beverages;https://images.openfoodfacts.org/images/products/001/200/001/6721/front_en.13.400.jpg;1.0;234.0;0.073;;2.2222222222222;11.358024691358;1.2345679012346;0.0;0.0;0.0370370370370372;0.74074074074074;D
62;Starbucks doubleshot energy vanilla fortified;;unknown;unknown;3.0;;https://images.openfoodfacts.org/images/products/001/200/002/8496/front_en.12.400.jpg;2.0;132.9;0.089;;2.5;6.25;0.6;8e-05;0.0;0.072;0.38;C
63;Chilled coffee drink;;Beverages;Sweetened beverages;18.0;en:beverages;;1.0;228.8;0.085;;2.19;11.44;1.22;0.0;0.2;0.036;0.73;D
64;Sparkling juice blend;;Beverages;Sweetened beverages;8.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sweetened-beverages;;1.0;75.2;0.006;;0.0;5.35;0.0;0.0;0.0;0.013;0.0;C
65;Pumpkin spice latte iced espresso beverage, pumpkin spice latte;;Beverages;Sweetened beverages;17.0;en:beverages;;1.0;220.6;0.085;;2.66;10.14;1.09;9e-05;0.0;0.046;0.72;D
66;Vanilla honey flavored coffee smoothie with almondmilk, vanilla honey;;Beverages;Sweetened beverages;13.0;en:beverages;;2.0;179.5;0.014;;2.7;7.77;1.01;0.00024;1.0;0.068;0.0;D
67;flowers;;Beverages;Sweetened beverages;9.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:coffees;https://images.openfoodfacts.org/images/products/001/200/081/3313/front_en.5.400.jpg;1.0;222.0;0.085;;2.19;11.19;1.09;9e-05;0.0;0.036;0.73;C
68;Sphère plaisir;;Fish Meat Eggs;Processed meat;13.0;en:snacks,en:meats,en:salty-snacks,en:appetizers,en:prepared-meats;https://images.openfoodfacts.org/images/products/001/234/567/8905/front_fr.40.400.jpg;4.0;279.4;0.0;;5.56;5.56;5.56;0.0;0.0;0.4;5.56;D
69;Crown Peanut Butter Chunky;;Cereals and potatoes;Legumes;20.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:legume-butters,en:nut-butters,en:peanut-butters;https://images.openfoodfacts.org/images/products/001/265/670/7387/front_fr.27.400.jpg;0.0;1318.25;0.05;0.0;22.0;11.0;47.0;0.0014;3.72;0.39;8.0;E
70;Sweet relish;;unknown;unknown;13.0;en:salted-snacks;;5.0;516.4;0.0;;0.0;26.67;0.0;0.0;0.0;0.633;0.0;D
71;Bbq baked beans, original;;Cereals and potatoes;Legumes;0.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:canned-foods,en:legumes,en:canned-plant-based-foods,en:canned-legumes,en:canned-common-beans;;0.0;449.7;0.062;;5.38;14.62;0.38;0.00138;3.8;0.308;0.0;B
72;Sauce;;Fat and sauces;Dressings and sauces;14.0;en:groceries,en:sauces;;3.0;418.8;0.0;;0.0;17.65;0.0;0.0;0.0;0.941;0.0;D
73;Cream of wheat cinnamon;;unknown;unknown;6.0;;https://images.openfoodfacts.org/images/products/001/313/006/0356/front_en.4.400.jpg;2.0;1280.0;0.571;5.725e-06;6.0;40.0;0.0;0.02571;2.9;0.216;0.0;C
74;Barbecue sauce;;Fat and sauces;Dressings and sauces;18.0;en:groceries,en:sauces,en:barbecue-sauces,en:plastique,en:squuezer;https://images.openfoodfacts.org/images/products/001/340/951/5518/front_en.4.400.jpg;1.0;375.5;0.0;;0.0;37.84;0.0;0.00097;0.0;0.784;0.0;D
75;Klik, white & milk chocolate corn puffs, vanilla 'n fudge;;Sugary snacks;Sweets;27.0;en:snacks,en:sweet-snacks,en:confectioneries;;1.0;1658.6;0.158;;7.89;50.0;23.68;0.0;0.0;0.118;13.16;E
76;Klik Kariot Pillows;;unknown;unknown;26.0;en:snacks;;0.0;1660.6;0.053;;7.0;51.0;26.0;0.00144;1.3;0.12;14.0;E
77;Honey graham crackers;;Sugary snacks;Biscuits and cakes;9.0;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;https://images.openfoodfacts.org/images/products/001/356/200/0524/front_en.13.400.jpg;5.0;1394.4;0.0;;6.45;25.81;9.68;0.0029;6.45;0.42608;0.0;C
78;Annie's Organic Friends Bunnies Cereal;;Cereals and potatoes;Cereals;8.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products;;2.0;1308.6;0.278;;8.33;30.56;5.56;0.0025;5.6;0.319;0.0;C
79;Annies organic classic mild cheddar macaroni cheese;;Cereals and potatoes;Cereals;8.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairies,en:fermented-foods,en:cereals-and-their-products,en:fermented-milk-products,en:cheeses,en:cow-cheeses,en:pastas,en:cheeses-from-the-united-kingdom,en:cheeses-from-england,en:cheddar-cheese;https://images.openfoodfacts.org/images/products/001/356/230/0396/front_en.13.400.jpg;2.0;710.6;0.000141;;14.08;8.4507;7.04;1.13e-06;2.8;0.74412;2.1127;C
80;Annie's Classic Macaroni & Cheese Family Size, Made with Organic Pasta;;unknown;unknown;2.0;;;3.0;899.4;0.141;;12.68;9.86;4.23;0.00113;2.8;0.761;2.11;B
81;Annie's Organic Cheddar Snack Mix;;unknown;unknown;13.0;en:snacks;;3.0;1247.2;0.0;;10.0;3.33;23.33;0.00133;3.3;0.7;3.33;D
82;macaroni and cheese shells aged;;Composite foods;One-dish meals;2.0;en:meals,en:pasta-dishes,en:macaroni-and-cheese;https://images.openfoodfacts.org/images/products/001/356/230/0983/front_en.14.400.jpg;0.0;375.4;0.141;;10.0;4.0;3.5;0.00101;2.8;0.53;2.0;B
83;Annie's Organic Friends Bunny Grahams;;Sugary snacks;Biscuits and cakes;11.0;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;https://images.openfoodfacts.org/images/products/001/356/230/2611/front_en.11.400.jpg;2.0;1450.8;0.667;;6.67;23.33;15.0;0.00167;3.3;0.3;1.67;D
84;Annie's Homegrown Organic Friends Bunny Grahams;;Sugary snacks;Biscuits and cakes;11.0;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;;2.0;1466.4;0.679;;7.14;25.0;14.29;0.00179;3.6;0.304;1.79;D
85;Annie's Organic Pancake & Waffle Mix;;unknown;unknown;14.0;en:cooking-helpers;https://images.openfoodfacts.org/images/products/001/356/247/4080/front_en.7.400.jpg;3.0;594.78;0.098;;7.32;12.2;4.88;0.0;2.4;0.902;0.0;D
86;Gluten free rice pasta & cheddar;;unknown;unknown;0.0;;https://images.openfoodfacts.org/images/products/001/356/261/0013/front_en.13.400.jpg;0.0;406.2;0.141;;9.8591549295775;5.6338028169014;4.9295774647887;0.0;1.4;0.53521126760564;2.8169014084507;B
87;Dave's killer bread, blues bread, cornmeal crust;;Cereals and potatoes;Bread;0.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads;https://images.openfoodfacts.org/images/products/001/376/402/7015/front_en.4.400.jpg;0.0;1107.2;0.048;;11.9;9.52;7.14;0.00257;9.5;0.452;0.0;B
88;organic Bread;;Cereals and potatoes;Bread;-2.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:sliced-breads;https://images.openfoodfacts.org/images/products/001/376/402/7138/front_en.12.400.jpg;0.0;1156.0;0.0;;10.71;10.71;3.57;0.00257;10.7;0.375;0.0;A
89;Organic bagels;;Cereals and potatoes;Bread;-4.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads;;0.0;1082.0;0.063;;12.63;4.21;4.74;0.00189;5.3;0.337;0.53;A
90;Macaroni & cheese freshly made pasta in a real cheddar cheese sauce, macaroni & cheese;;unknown;unknown;5.0;en:frozen-foods;;4.0;554.4;0.111;;6.22;1.33;7.11;0.00016;0.4;0.369;3.11;C
91;Fuji & reds apple chips, fuji & reds;;unknown;unknown;4.0;en:snacks;;0.0;425.6;0.036;;0.0;71.43;0.0;0.00071;14.3;0.0;0.0;C
92;Granny smith apple chips, granny smith;;unknown;unknown;2.0;en:snacks;https://images.openfoodfacts.org/images/products/001/397/102/1028/front_en.4.400.jpg;0.0;123.7;0.036;;3.57;60.71;0.0;0.00107;17.9;0.0;0.0;B
93;Simply banana chips, simply;;unknown;unknown;2.0;en:snacks;https://images.openfoodfacts.org/images/products/001/397/104/0005/front_en.4.400.jpg;0.0;123.7;0.036;;3.57;64.29;0.0;0.00107;10.7;0.0;0.0;B
94;Banana chips;;unknown;unknown;2.0;en:snacks;;0.0;123.7;0.0;;3.33;73.33;0.0;0.0012;10.0;0.0;0.0;B
95;Mango tango fruit smoothie blend;;Beverages;Unsweetened beverages;18.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages;https://images.openfoodfacts.org/images/products/001/405/402/6053/front_en.6.400.jpg;0.0;395.8;0.009;;0.44;12.22;0.33;0.00016;0.7;0.003;0.22;D
96;Fruit smoothie blend, mango tango;;Beverages;Unsweetened beverages;18.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages;;0.0;395.8;0.008;;0.42;12.5;0.42;0.0001498;0.4;0.004;0.21;D
97;100% juice, orange;;Beverages;Unsweetened beverages;4.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages;;0.0;157.7;0.008;;0.42;10.0;0.0;0.000253;0.0;0.0;0.0;C
98;Pepperidge farm cheddar crackers;;Sugary snacks;Biscuits and cakes;14.0;en:snacks,en:salty-snacks,en:sweet-snacks,en:appetizers,en:biscuits-and-cakes,en:biscuits,en:crackers;https://images.openfoodfacts.org/images/products/001/410/004/4222/front_en.14.400.jpg;3.0;1023.6;0.133;;10.0;0.0;16.666666666667;0.004;3.3;0.83333333333332;3.3333333333333;D
